,english,german,swedish,finnish,karelian,otomi
english,0.9933622949020579,0.7938688370739924,0.7493342120910441,0.8438997112166469,0.8091021931359423,0.5145459432102211
german,0.8280516362775409,0.8344721558771326,0.8021571876356735,0.8051995650496816,0.825258489364955,0.7556819361365343
swedish,0.7876758145357513,0.608164441049192,0.928328680723848,0.8255866715808831,0.854514614955255,0.5476635093786881
finnish,0.8466330142364227,0.6450709159650667,0.7978461324125443,0.9767083937070391,0.8465411332015774,0.5957086479978382
karelian,0.8804393754089825,0.8261386452514446,0.8997624544837876,0.9629191882476751,0.9898696448472165,0.4951930662892956
otomi,0.5733499204595047,0.705407999750847,0.5133798233792383,0.6358895431058643,0.5308955447970887,0.9948046180606723
